candidate_id	name	type	source_repository	source_commit	source_path	license	license_compatibility	last_meaningful_change	maintainer_status	upstream_base	app_id	category	dependencies	hardware_requirements	firmware_API	ram_estimate	storage_estimate	assets	duplicate_candidates	security_classification	automation_classification	known_issues	integration_complexity	maintenance_burden	recommended_disposition	decision_rationale
custom_flipper/resistors	Resistor Color Code Calculator	app	https://github.com/XXBlackMartinXX/Custom-Flipper	78aa28d4583fdfb47612c52aefd44e4773ad41f1	applications_user/resistors	GPL-3.0 (firmware) / per-app LICENSE present except boilerplate, flipper95, network_subnet (see LICENSE_COMPATIBILITY_MATRIX.md)	ALREADY_ACCEPTED_IN_BASELINE		maintained (this project)	Unleashed-derived integration branch	resistance_calculator	Tools		none beyond stock Flipper Zero		not yet measured on real hardware	not yet measured on real hardware			non-radio, local-UI	see tests/hardware/apps/*.yaml		already integrated	ongoing (this project)	ALREADY_INCLUDED	Already part of the accepted 20-app integration baseline; not a census candidate.
custom_flipper/crypto_dictionary	Crypto Dictionary	app	https://github.com/XXBlackMartinXX/Custom-Flipper	78aa28d4583fdfb47612c52aefd44e4773ad41f1	applications_user/crypto_dictionary	GPL-3.0 (firmware) / per-app LICENSE present except boilerplate, flipper95, network_subnet (see LICENSE_COMPATIBILITY_MATRIX.md)	ALREADY_ACCEPTED_IN_BASELINE		maintained (this project)	Unleashed-derived integration branch	crypto_dict	Tools/Educational		none beyond stock Flipper Zero		not yet measured on real hardware	not yet measured on real hardware			non-radio, local-UI	see tests/hardware/apps/*.yaml		already integrated	ongoing (this project)	ALREADY_INCLUDED	Already part of the accepted 20-app integration baseline; not a census candidate.
custom_flipper/2048	2048	app	https://github.com/XXBlackMartinXX/Custom-Flipper	78aa28d4583fdfb47612c52aefd44e4773ad41f1	applications_user/2048	GPL-3.0 (firmware) / per-app LICENSE present except boilerplate, flipper95, network_subnet (see LICENSE_COMPATIBILITY_MATRIX.md)	ALREADY_ACCEPTED_IN_BASELINE		maintained (this project)	Unleashed-derived integration branch	2048_improved	Games		none beyond stock Flipper Zero		not yet measured on real hardware	not yet measured on real hardware			non-radio, local-UI	see tests/hardware/apps/*.yaml		already integrated	ongoing (this project)	ALREADY_INCLUDED	Already part of the accepted 20-app integration baseline; not a census candidate.
custom_flipper/image_viewer	Image Viewer	app	https://github.com/XXBlackMartinXX/Custom-Flipper	78aa28d4583fdfb47612c52aefd44e4773ad41f1	applications_user/image_viewer	GPL-3.0 (firmware) / per-app LICENSE present except boilerplate, flipper95, network_subnet (see LICENSE_COMPATIBILITY_MATRIX.md)	ALREADY_ACCEPTED_IN_BASELINE		maintained (this project)	Unleashed-derived integration branch	image_viewer	Media		none beyond stock Flipper Zero		not yet measured on real hardware	not yet measured on real hardware			non-radio, local-UI	see tests/hardware/apps/*.yaml		already integrated	ongoing (this project)	ALREADY_INCLUDED	Already part of the accepted 20-app integration baseline; not a census candidate.
custom_flipper/fap_boilerplate	FAP Boilerplate	app	https://github.com/XXBlackMartinXX/Custom-Flipper	78aa28d4583fdfb47612c52aefd44e4773ad41f1	applications_user/boilerplate	GPL-3.0 (firmware) / per-app LICENSE present except boilerplate, flipper95, network_subnet (see LICENSE_COMPATIBILITY_MATRIX.md)	ALREADY_ACCEPTED_IN_BASELINE		maintained (this project)	Unleashed-derived integration branch	fap_boilerplate	Tools/Educational		none beyond stock Flipper Zero		not yet measured on real hardware	not yet measured on real hardware			non-radio, local-UI	see tests/hardware/apps/*.yaml		already integrated	ongoing (this project)	ALREADY_INCLUDED	Already part of the accepted 20-app integration baseline; not a census candidate.
custom_flipper/minesweeper_redux	Minesweeper Redux	app	https://github.com/XXBlackMartinXX/Custom-Flipper	78aa28d4583fdfb47612c52aefd44e4773ad41f1	applications_user/minesweeper	GPL-3.0 (firmware) / per-app LICENSE present except boilerplate, flipper95, network_subnet (see LICENSE_COMPATIBILITY_MATRIX.md)	ALREADY_ACCEPTED_IN_BASELINE		maintained (this project)	Unleashed-derived integration branch	minesweeper_redux	Games		none beyond stock Flipper Zero		not yet measured on real hardware	not yet measured on real hardware			non-radio, local-UI	see tests/hardware/apps/*.yaml		already integrated	ongoing (this project)	ALREADY_INCLUDED	Already part of the accepted 20-app integration baseline; not a census candidate.
custom_flipper/qrcode	QR Code Generator	app	https://github.com/XXBlackMartinXX/Custom-Flipper	78aa28d4583fdfb47612c52aefd44e4773ad41f1	applications_user/qrcode	GPL-3.0 (firmware) / per-app LICENSE present except boilerplate, flipper95, network_subnet (see LICENSE_COMPATIBILITY_MATRIX.md)	ALREADY_ACCEPTED_IN_BASELINE		maintained (this project)	Unleashed-derived integration branch	qrcode	Tools		none beyond stock Flipper Zero		not yet measured on real hardware	not yet measured on real hardware			non-radio, local-UI	see tests/hardware/apps/*.yaml		already integrated	ongoing (this project)	ALREADY_INCLUDED	Already part of the accepted 20-app integration baseline; not a census candidate.
custom_flipper/hex_viewer	Hex Viewer	app	https://github.com/XXBlackMartinXX/Custom-Flipper	78aa28d4583fdfb47612c52aefd44e4773ad41f1	applications_user/hex_viewer	GPL-3.0 (firmware) / per-app LICENSE present except boilerplate, flipper95, network_subnet (see LICENSE_COMPATIBILITY_MATRIX.md)	ALREADY_ACCEPTED_IN_BASELINE		maintained (this project)	Unleashed-derived integration branch	hex_viewer	Tools		none beyond stock Flipper Zero		not yet measured on real hardware	not yet measured on real hardware			non-radio, local-UI	see tests/hardware/apps/*.yaml		already integrated	ongoing (this project)	ALREADY_INCLUDED	Already part of the accepted 20-app integration baseline; not a census candidate.
custom_flipper/barcode_app	Barcode Generator	app	https://github.com/XXBlackMartinXX/Custom-Flipper	78aa28d4583fdfb47612c52aefd44e4773ad41f1	applications_user/barcode_gen	GPL-3.0 (firmware) / per-app LICENSE present except boilerplate, flipper95, network_subnet (see LICENSE_COMPATIBILITY_MATRIX.md)	ALREADY_ACCEPTED_IN_BASELINE		maintained (this project)	Unleashed-derived integration branch	barcode_app	Tools		none beyond stock Flipper Zero		not yet measured on real hardware	not yet measured on real hardware			non-radio, local-UI	see tests/hardware/apps/*.yaml		already integrated	ongoing (this project)	ALREADY_INCLUDED	Already part of the accepted 20-app integration baseline; not a census candidate.
custom_flipper/fcc_id_lookup	FCC ID Lookup	app	https://github.com/XXBlackMartinXX/Custom-Flipper	78aa28d4583fdfb47612c52aefd44e4773ad41f1	applications_user/fcc_id_lookup	GPL-3.0 (firmware) / per-app LICENSE present except boilerplate, flipper95, network_subnet (see LICENSE_COMPATIBILITY_MATRIX.md)	ALREADY_ACCEPTED_IN_BASELINE		maintained (this project)	Unleashed-derived integration branch	fcc_id_lookup	Tools		none beyond stock Flipper Zero		not yet measured on real hardware	not yet measured on real hardware			non-radio, local-UI	see tests/hardware/apps/*.yaml		already integrated	ongoing (this project)	ALREADY_INCLUDED	Already part of the accepted 20-app integration baseline; not a census candidate.
momentum_apps/quadrastic	Quadrastic	app	https://github.com/Next-Flip/Momentum-Apps	b05485f7d13ee1595d06745c881f1d3aadb3d45d	quadrastic	GPL-3.0 (firmware-level; per-app license not individually verified in this phase)	NOT_YET_VERIFIED		unknown (not individually assessed in this phase)	Momentum-Apps	quadrastic	Tools		none beyond stock Flipper Zero					custom_flipper equivalent already included	non-radio, local-UI	NOT_ASSESSED		low (functional duplicate)	n/a - not recommended	REJECT_DUPLICATE	Conceptually overlaps our quadratic_solver; different appid suggests a distinct implementation, but functional overlap is high enough that importing it alongside our existing app would be a duplicate feature, not an improvement. Revisit only if a feature comparison shows a concrete capability gap in our own app.
roguemaster/game2048_original	2048 (Original)	app	https://github.com/RogueMaster/flipperzero-firmware-wPlugins	9273d355269c6abc77e7b063fcd8ef412343b27b	applications/external/game2048	GPL-3.0 (firmware-level; per-app license not individually verified in this phase)	NOT_YET_VERIFIED		unknown (not individually assessed in this phase)	flipperzero-firmware-wPlugins	2048	Games		none beyond stock Flipper Zero					custom_flipper equivalent already included	non-radio, local-UI	NOT_ASSESSED		low (functional duplicate)	n/a - not recommended	REJECT_DUPLICATE	Our own 2048 (appid 2048_improved) already supersedes the base '2048' concept; importing the unimproved original would be a regression, not an addition.
roguemaster/minesweeper_og	Minesweeper (Original)	app	https://github.com/RogueMaster/flipperzero-firmware-wPlugins	9273d355269c6abc77e7b063fcd8ef412343b27b	applications/external/minesweeper_og	GPL-3.0 (firmware-level; per-app license not individually verified in this phase)	NOT_YET_VERIFIED		unknown (not individually assessed in this phase)	flipperzero-firmware-wPlugins	minesweeper	Games		none beyond stock Flipper Zero					custom_flipper equivalent already included	non-radio, local-UI	NOT_ASSESSED		low (functional duplicate)	n/a - not recommended	REJECT_DUPLICATE	Our own minesweeper_redux already supersedes the base 'minesweeper' concept; importing the original would be a regression, not an addition.
official/js_app	JS Runner (on-device JavaScript engine)	feature	https://github.com/flipperdevices/flipperzero-firmware	7432d21a7e362d4a5f636e24d6209fbb2eedff1f	applications/system/js_app	GPL-3.0 (firmware-level; per-app license not individually verified in this phase)	NOT_YET_VERIFIED		unknown (not individually assessed in this phase)	official		System/Feature		varies - see rationale						scripting-capable, non-radio by itself	NOT_ASSESSED		not assessed	not assessed	EXPERIMENTAL	A built-in scripting engine is a significant capability with real security-review implications (arbitrary local scripts). Genuinely differentiating if adopted carefully, but requires dedicated security review before any inclusion decision - not a simple app import.
official/dolphin_passport	Dolphin/Passport (gamification system)	feature	https://github.com/flipperdevices/flipperzero-firmware	7432d21a7e362d4a5f636e24d6209fbb2eedff1f	applications/services/dolphin, applications/settings/passport	GPL-3.0 (firmware-level; per-app license not individually verified in this phase)	NOT_YET_VERIFIED		unknown (not individually assessed in this phase)	official		System/Feature		varies - see rationale						non-radio, local-only	NOT_ASSESSED		not assessed	not assessed	DEFER	Already part of the shared firmware core this project's own base inherits from Unleashed; not a new import decision, but worth explicit acknowledgement in FEATURE_CENSUS.json as an existing, differentiator-adjacent capability.
official/expansion_protocol	GPIO Expansion Module Protocol/Service	feature	https://github.com/flipperdevices/flipperzero-firmware	7432d21a7e362d4a5f636e24d6209fbb2eedff1f	applications/services/expansion*, applications/settings/expansion_settings	GPL-3.0 (firmware-level; per-app license not individually verified in this phase)	NOT_YET_VERIFIED		unknown (not individually assessed in this phase)	official		System/Feature		varies - see rationale						GPIO, hardware-module-facing	NOT_ASSESSED		not assessed	not assessed	INCLUDE	Directly relevant to RFC 4 (Hardware and Module Compatibility Hub) - already part of the shared firmware core; this census entry exists to formally acknowledge it as the real foundation RFC 4 should build on, not a new import.
unleashed/subghz_remote	SubGHz Remote (Unleashed's own configurator app)	app	https://github.com/DarkFlippers/unleashed-firmware	9bcabc0134a4503e341b804999dd73ec890466af	applications/main/subghz_remote (submodule: DarkFlippers/SubGHz_Remote, branch ufw_main_app)	GPL-3.0 (firmware-level; per-app license not individually verified in this phase)	NOT_YET_VERIFIED		unknown (not individually assessed in this phase)	unleashed		Sub-GHz		varies - see rationale						Sub-GHz transmission-capable	NOT_ASSESSED		not assessed	not assessed	REJECT_UNSAFE	Sub-GHz transmission apps are explicitly out of this project's automation/import scope per the mission's forbidden-test list; any future consideration requires a dedicated RF-safety review process this phase does not perform.
unleashed_plugins/flipper_i2ctools	I2C Tools	app	https://github.com/xMasterX/all-the-plugins	117a38d633a3902d8a89c19cc778db3857a47cd5	(path not individually recorded by census agent)	GPL-3.0 (firmware-level; per-app license not individually verified in this phase)	NOT_YET_VERIFIED		unknown (not individually assessed in this phase)	unleashed_plugins		GPIO/Tools		varies - see rationale						GPIO output to potentially-unknown hardware	NOT_ASSESSED		not assessed	not assessed	NEEDS_REVIEW	GPIO tools can output to arbitrary attached hardware - genuinely useful for RFC 4's Hardware Hub, but needs the same 'no GPIO output to unknown hardware' safety review this project's hardware app tester itself enforces before any import decision.
unleashed_plugins/lightmeter	Light Meter	app	https://github.com/xMasterX/all-the-plugins	117a38d633a3902d8a89c19cc778db3857a47cd5	(path not individually recorded by census agent)	GPL-3.0 (firmware-level; per-app license not individually verified in this phase)	NOT_YET_VERIFIED		unknown (not individually assessed in this phase)	unleashed_plugins		GPIO/Sensors		varies - see rationale						sensor-reading only, non-transmissive	NOT_ASSESSED		not assessed	not assessed	OPTIONAL_PACK	A plausible, low-risk, differentiating utility if it only reads a sensor and does not transmit - license and exact source path need individual confirmation before any INCLUDE decision; recorded here as a promising OPTIONAL_PACK candidate pending that review.
momentum_apps/metroflip	Metroflip (transit card reader)	app	https://github.com/Next-Flip/Momentum-Apps	b05485f7d13ee1595d06745c881f1d3aadb3d45d	metroflip	GPL-3.0 (firmware-level; per-app license not individually verified in this phase)	NOT_YET_VERIFIED		unknown (not individually assessed in this phase)	momentum_apps		NFC		varies - see rationale						NFC read of third-party transit systems	NOT_ASSESSED		not assessed	not assessed	REJECT_UNSAFE	NFC read/interaction with third-party access/payment systems is explicitly out of this project's forbidden-test scope (access-control interaction, unauthorized systems); not recommended regardless of code quality.
momentum_apps/asset_packs_engine	Asset Packs theming engine	feature	https://github.com/Next-Flip/Momentum-Firmware	8ed809fba8af7ac3f09b9495a597d8963f9178a8	documentation/file_formats/AssetPacks.md (feature, not a single app)	GPL-3.0 (firmware-level; per-app license not individually verified in this phase)	NOT_YET_VERIFIED		unknown (not individually assessed in this phase)	momentum		System/Feature		varies - see rationale						non-radio, cosmetic/UX only	NOT_ASSESSED		not assessed	not assessed	INCLUDE_AFTER_PORT	A genuinely differentiating, low-risk UX feature (custom animation/icon/font packs) with no radio/security surface at all - a strong candidate for a future import wave once the underlying asset-format and firmware hook are understood well enough to port cleanly, which this phase did not attempt.
roguemaster/mousejacker_family	Mousejacker app family (mousejacker_azerty, mousejacker_ms, nrf24mousejacker)	app	https://github.com/RogueMaster/flipperzero-firmware-wPlugins	9273d355269c6abc77e7b063fcd8ef412343b27b	applications/external/mousejacker*	GPL-3.0 (firmware-level; per-app license not individually verified in this phase)	NOT_YET_VERIFIED		unknown (not individually assessed in this phase)	roguemaster		GPIO/NRF24		varies - see rationale						wireless HID-injection-adjacent attack tooling	NOT_ASSESSED		not assessed	not assessed	REJECT_UNSAFE	Directly matches this project's forbidden-automation list (HID injection, bypass). Not eligible for any disposition other than rejection.
roguemaster/wifi_marauder_companion	WiFi Marauder Companion	app	https://github.com/RogueMaster/flipperzero-firmware-wPlugins	9273d355269c6abc77e7b063fcd8ef412343b27b	applications/external/wifi_marauder_companion	GPL-3.0 (firmware-level; per-app license not individually verified in this phase)	NOT_YET_VERIFIED		unknown (not individually assessed in this phase)	roguemaster		GPIO/ESP32		varies - see rationale						companion app for external deauth/jamming hardware	NOT_ASSESSED		not assessed	not assessed	REJECT_UNSAFE	Companion tooling for deauthentication/jamming-capable external hardware; matches this project's forbidden-test list even though the Flipper-side app itself does not transmit directly.
roguemaster/servotester	Servo Tester	app	https://github.com/RogueMaster/flipperzero-firmware-wPlugins	9273d355269c6abc77e7b063fcd8ef412343b27b	applications/external/servotester	GPL-3.0 (firmware-level; per-app license not individually verified in this phase)	NOT_YET_VERIFIED		unknown (not individually assessed in this phase)	roguemaster		GPIO		varies - see rationale						GPIO output to attached hardware (servo)	NOT_ASSESSED		not assessed	not assessed	NEEDS_REVIEW	A plausible, low-risk GPIO utility once paired with RFC 4's module-compatibility discipline - GPIO output to unknown/unverified hardware is explicitly a caution area, so this needs a real hardware-tested driver entry before any INCLUDE decision, not a blanket approval.
